iter	Passed	Remaining
910	62161	1302534
911	62228	1302437
912	62293	1302293
913	62360	1302208
914	62429	1302154
915	62501	1302153
916	62571	1302131
917	62637	1302011
918	62704	1301914
919	62773	1301863
920	62842	1301820
921	62909	1301729
922	62976	1301627
923	63042	1301512
924	63114	1301532
925	63181	1301432
926	63250	1301372
927	63317	1301290
928	63385	1301204
929	63451	1301087
930	63517	1300985
931	63584	1300888
932	63660	1300986
933	63729	1300931
934	63795	1300809
935	63861	1300710
936	63927	1300596
937	63994	1300501
938	64062	1300418
939	64128	1300315
940	64196	1300229
941	64265	1300175
942	64332	1300095
943	64398	1299974
944	64467	1299930
945	64536	1299879
946	64604	1299790
947	64670	1299695
948	64739	1299624
949	64814	1299704
950	64890	1299788
951	64959	1299737
952	65026	1299648
953	65095	1299595
954	65162	1299493
955	65229	1299403
956	65294	1299263
957	65359	1299143
958	65426	1299041
959	65491	1298911
960	65560	1298854
961	65631	1298854
962	65695	1298691
963	65761	1298590
964	65826	1298445
965	65892	1298333
966	65963	1298332
967	66037	1298382
968	66109	1298379
969	66175	1298275
970	66240	1298138
971	66307	1298036
972	66374	1297958
973	66443	1297895
974	66509	1297789
975	66575	1297684
976	66643	1297595
977	66705	1297415
978	66772	1297324
979	66836	1297180
980	66906	1297135
981	66975	1297079
982	67038	1296924
983	67106	1296842
984	67176	1296813
985	67253	1296920
986	67319	1296803
987	67385	1296700
988	67451	1296583
989	67517	1296465
990	67582	1296341
991	67648	1296236
992	67717	1296174
993	67783	1296076
994	67850	1295973
995	67917	1295878
996	67985	1295808
997	68050	1295695
998	68124	1295724
999	68189	1295597
1000	68257	1295530
1001	68330	1295559
1002	68402	1295560
1003	68470	1295489
1004	68543	1295503
1005	68609	1295398
1006	68675	1295294
1007	68742	1295199
1008	68808	1295085
1009	68876	1295020
1010	68941	1294892
1011	69008	1294797
1012	69075	1294708
1013	69142	1294617
1014	69209	1294528
1015	69277	1294460
1016	69344	1294366
1017	69410	1294248
1018	69478	1294183
1019	69555	1294274
1020	69627	1294279
1021	69694	1294197
1022	69766	1294194
1023	69840	1294230
1024	69906	1294126
1025	69973	1294031
1026	70044	1294007
1027	70109	1293885
1028	70176	1293798
1029	70242	1293689
1030	70307	1293563
1031	70373	1293458
1032	70440	1293358
1033	70506	1293260
1034	70574	1293192
1035	70644	1293143
1036	70714	1293110
1037	70790	1293185
1038	70863	1293201
1039	70932	1293159
1040	70997	1293022
1041	71065	1292950
1042	71132	1292857
1043	71195	1292705
1044	71265	1292664
1045	71333	1292598
1046	71400	1292506
1047	71471	1292490
1048	71536	1292358
1049	71603	1292273
1050	71669	1292165
1051	71735	1292057
1052	71804	1291999
1053	71874	1291959
1054	71947	1291981
1055	72014	1291893
1056	72085	1291871
1057	72152	1291789
1058	72217	1291656
1059	72285	1291585
1060	72353	1291514
1061	72419	1291416
1062	72487	1291332
1063	72553	1291240
1064	72620	1291140
1065	72684	1291001
1066	72752	1290934
1067	72820	1290866
1068	72890	1290819
1069	72960	1290795
1070	73031	1290772
1071	73106	1290820
1072	73173	1290731
1073	73241	1290654
1074	73306	1290537
1075	73376	1290499
1076	73442	1290389
1077	73511	1290333
1078	73579	1290258
1079	73646	1290179
1080	73712	1290064
1081	73779	1289981
1082	73846	1289891
1083	73912	1289779
1084	73981	1289741
1085	74049	1289656
1086	74116	1289574
1087	74188	1289563
1088	74258	1289536
1089	74328	1289491
1090	74396	1289419
1091	74462	1289320
1092	74529	1289225
1093	74595	1289129
1094	74661	1289021
1095	74726	1288904
1096	74790	1288763
1097	74856	1288655
1098	74923	1288555
1099	74990	1288474
1100	75057	1288386
1101	75123	1288274
1102	75188	1288155
1103	75253	1288030
1104	75320	1287954
1105	75395	1287994
1106	75471	1288061
1107	75540	1288006
1108	75610	1287970
1109	75677	1287882
1110	75745	1287817
1111	75812	1287726
1112	75881	1287667
1113	75948	1287574
1114	76015	1287488
1115	76085	1287459
1116	76152	1287360
1117	76215	1287213
1118	76281	1287108
1119	76349	1287035
1120	76413	1286893
1121	76479	1286797
1122	76549	1286749
1123	76618	1286707
1124	76689	1286681
1125	76755	1286574
1126	76820	1286451
1127	76886	1286355
1128	76956	1286314
1129	77029	1286318
1130	77101	1286324
1131	77175	1286344
1132	77242	1286256
1133	77310	1286188
1134	77379	1286141
1135	77446	1286050
1136	77512	1285942
1137	77580	1285866
1138	77649	1285820
1139	77719	1285772
1140	77791	1285770
1141	77856	1285647
1142	77925	1285607
1143	77996	1285572
1144	78061	1285450
1145	78128	1285369
1146	78197	1285317
1147	78270	1285332
1148	78342	1285325
1149	78412	1285281
1150	78480	1285206
1151	78548	1285137
1152	78619	1285118
1153	78684	1284999
1154	78758	1285021
1155	78827	1284963
1156	78903	1285033
1157	78976	1285044
1158	79049	1285044
1159	79119	1285010
1160	79188	1284955
1161	79257	1284901
1162	79323	1284796
1163	79394	1284766
1164	79460	1284671
1165	79527	1284587
1166	79594	1284490
1167	79665	1284476
1168	79731	1284369
1169	79800	1284308
1170	79866	1284214
1171	79933	1284112
1172	79999	1284023
1173	80076	1284082
1174	80146	1284041
1175	80211	1283932
1176	80279	1283855
1177	80343	1283715
1178	80410	1283643
1179	80481	1283611
1180	80546	1283491
1181	80614	1283426
1182	80682	1283348
1183	80747	1283238
1184	80815	1283155
1185	80881	1283056
1186	80947	1282949
1187	81013	1282850
1188	81079	1282747
1189	81146	1282658
1190	81211	1282540
1191	81284	1282550
1192	81354	1282511
1193	81424	1282474
1194	81489	1282358
1195	81555	1282244
1196	81620	1282134
1197	81687	1282037
1198	81754	1281954
1199	81819	1281835
1200	81888	1281788
1201	81957	1281730
1202	82023	1281628
1203	82090	1281542
1204	82160	1281496
1205	82267	1282028
1206	82345	1282115
1207	82414	1282059
1208	82491	1282128
1209	82560	1282077
1210	82631	1282046
1211	82697	1281954
1212	82763	1281840
1213	82827	1281707
1214	82892	1281598
1215	82960	1281515
1216	83025	1281404
1217	83092	1281319
1218	83160	1281238
1219	83228	1281166
1220	83296	1281099
1221	83362	1280999
1222	83436	1281021
1223	83510	1281037
1224	83582	1281022
1225	83662	1281144
1226	83729	1281052
1227	83796	1280961
1228	83862	1280867
1229	83928	1280767
1230	83997	1280702
1231	84063	1280603
1232	84129	1280506
1233	84195	1280405
1234	84265	1280363
1235	84333	1280282
1236	84408	1280321
1237	84474	1280219
1238	84538	1280079
1239	84603	1279965
1240	84669	1279861
1241	84739	1279827
1242	84813	1279847
1243	84882	1279794
1244	84952	1279740
1245	85017	1279631
1246	85080	1279487
1247	85147	1279394
1248	85216	1279337
1249	85280	1279213
1250	85347	1279118
1251	85413	1279024
1252	85482	1278956
1253	85549	1278875
1254	85619	1278834
1255	85689	1278799
1256	85758	1278743
1257	85822	1278601
1258	85892	1278570
1259	85967	1278592
1260	86033	1278493
1261	86106	1278500
1262	86171	1278375
1263	86236	1278269
1264	86306	1278224
1265	86374	1278157
1266	86441	1278068
1267	86511	1278019
1268	86578	1277935
1269	86645	1277845
1270	86713	1277779
1271	86779	1277676
1272	86847	1277599
1273	86913	1277506
1274	86980	1277419
1275	87045	1277304
1276	87120	1277333
1277	87191	1277314
1278	87261	1277258
1279	87325	1277142
1280	87391	1277038
1281	87459	1276960
1282	87530	1276928
1283	87601	1276913
1284	87666	1276799
1285	87732	1276696
1286	87801	1276632
1287	87867	1276532
1288	87936	1276473
1289	88006	1276441
1290	88074	1276362
1291	88138	1276230
1292	88202	1276110
1293	88276	1276124
1294	88349	1276117
1295	88420	1276090
1296	88486	1275997
1297	88553	1275904
1298	88620	1275815
1299	88690	1275782
1300	88754	1275647
1301	88820	1275545
1302	88888	1275482
1303	88953	1275365
1304	89022	1275310
1305	89092	1275259
1306	89158	1275164
1307	89223	1275048
1308	89289	1274949
1309	89357	1274872
1310	89426	1274816
1311	89500	1274838
1312	89569	1274772
1313	89636	1274688
1314	89703	1274610
1315	89771	1274539
1316	89837	1274441
1317	89905	1274363
1318	89973	1274290
1319	90038	1274174
1320	90106	1274105
1321	90174	1274034
1322	90239	1273922
1323	90305	1273828
1324	90369	1273703
1325	90438	1273639
1326	90505	1273558
1327	90574	1273503
1328	90646	1273484
1329	90717	1273450
1330	90785	1273380
1331	90852	1273294
1332	90918	1273196
1333	90987	1273148
1334	91055	1273068
1335	91121	1272967
1336	91187	1272873
1337	91250	1272739
1338	91318	1272661
1339	91386	1272585
1340	91450	1272468
1341	91518	1272396
1342	91588	1272355
1343	91654	1272252
1344	91721	1272171
1345	91793	1272151
1346	91866	1272155
1347	91937	1272127
1348	92006	1272058
1349	92072	1271961
1350	92142	1271921
1351	92208	1271818
1352	92275	1271733
1353	92342	1271656
1354	92409	1271562
1355	92482	1271571
1356	92548	1271465
1357	92614	1271365
1358	92682	1271292
1359	92746	1271170
1360	92811	1271056
1361	92877	1270956
1362	92946	1270903
1363	93021	1270925
1364	93091	1270882
1365	93158	1270806
1366	93224	1270704
1367	93288	1270580
1368	93355	1270500
1369	93421	1270395
1370	93487	1270298
1371	93556	1270239
1372	93624	1270168
1373	93691	1270088
1374	93760	1270028
1375	93824	1269908
1376	93892	1269835
1377	93961	1269777
1378	94027	1269675
1379	94097	1269639
1380	94171	1269648
1381	94239	1269576
1382	94308	1269517
1383	94374	1269419
1384	94444	1269372
1385	94511	1269288
1386	94575	1269172
1387	94642	1269087
1388	94706	1268961
1389	94772	1268863
1390	94838	1268767
1391	94905	1268677
1392	94971	1268580
1393	95037	1268489
1394	95105	1268413
1395	95172	1268330
1396	95236	1268212
1397	95320	1268342
1398	95391	1268314
1399	95456	1268208
1400	95523	1268121
1401	95591	1268052
1402	95663	1268039
1403	95732	1267980
1404	95805	1267976
1405	95869	1267853
1406	95935	1267759
1407	96001	1267656
1408	96066	1267544
1409	96133	1267462
1410	96201	1267396
1411	96270	1267332
1412	96338	1267269
1413	96410	1267251
1414	96495	1267403
1415	96566	1267367
1416	96636	1267323
1417	96706	1267277
1418	96775	1267225
1419	96850	1267236
1420	96918	1267169
1421	96991	1267168
1422	97065	1267174
1423	97137	1267159
1424	97212	1267177
1425	97277	1267069
1426	97346	1267000
1427	97416	1266956
1428	97484	1266887
1429	97546	1266739
1430	97614	1266672
1431	97690	1266706
1432	97763	1266695
1433	97831	1266623
1434	97901	1266574
1435	97970	1266515
1436	98038	1266454
1437	98106	1266384
1438	98172	1266276
1439	98240	1266214
1440	98306	1266110
1441	98372	1266021
1442	98439	1265933
1443	98505	1265840
1444	98575	1265785
1445	98643	1265715
1446	98709	1265621
1447	98779	1265580
1448	98853	1265589
1449	98927	1265586
1450	98995	1265523
1451	99061	1265426
1452	99129	1265352
1453	99196	1265269
1454	99262	1265169
1455	99331	1265109
1456	99398	1265025
1457	99462	1264911
1458	99529	1264818
1459	99597	1264752
1460	99669	1264726
1461	99738	1264669
1462	99807	1264619
1463	99877	1264563
1464	99951	1264568
1465	100023	1264558
1466	100091	1264486
1467	100159	1264413
1468	100230	1264378
1469	100295	1264268
1470	100361	1264179
1471	100430	1264109
1472	100496	1264020
1473	100563	1263930
1474	100632	1263871
1475	100698	1263775
1476	100764	1263688
1477	100831	1263602
1478	100900	1263544
1479	100968	1263474
1480	101035	1263385
1481	101105	1263338
1482	101182	1263387
1483	101250	1263305
1484	101316	1263221
1485	101382	1263122
1486	101448	1263028
1487	101518	1262972
1488	101583	1262866
1489	101650	1262790
1490	101716	1262694
1491	101782	1262591
1492	101850	1262524
1493	101916	1262422
1494	101984	1262356
1495	102050	1262262
1496	102118	1262187
